rating,"review text"
1,"Банка приехала с неплотно закрытой крышкой, часть урбеча вытекла. Всю банку придется выкинуть. Заказывала в другом месте, банка была плотно закрыта. Обидно. Больше не буду заказывать здесь продукты."
1,"Банка приехала с порваной фольгой, вся в потёках. От товара отказалась."
1,"Банка пришла вся разбитая!!! Уважаемый  Вайлдберриз, неужели сложно упаковать баночку в коробку, а не тупо ее класть в пакетик?! Даже не стала забирать, упаковано в мягкий пакет и внутри все было разбито!!!!"
1,"Банка пришла разбитая на мелкие осколочки, я вся порезалась!!! Я настолько опешила, что даже не сфотографировала это все, побежала обрабатывать руки!! Ужас!!!"
1,Банка пришла разбитая.
1,Банка с пастой пришла повреждённая на дне. Часть пасты вытекла.
1,"Банка, как и у многих, пришла разбитая. К сожалению, обнаружили это уже придя домой. Вкус оценивать не рискнули, так есть мелкие осколки стекла. Поставщику, очевидно, следует продумать более надежную упаковку, учитывая ""бережное"" отношение к посылкам службы доставки."
1,"Бесполезная покупка, очень не удобен к применению и ничего не отбеливает"
1,Бесполезные абсолютно.
1,Беспонтовые
1,"Большая, бестолковая, не адаптированная для детей 21 века. Можно было подобрать куда более подходящие произведения."
1,"Брала в чёрной упаковке с пептидами , очень понравился, этот пока не пробовала, позже напишу)))"
1,Брала за 305 руб. Вообще не советую! Плёнкой отходит от ногтя через несколько дней!
1,"Бумага пришла в отвратительном состоянии, упаковка грязная с подтеками. Отказ."
1,Бумажные лучше! Не рекомендую!!!
1,"Был распакован и склеен скотчем ,линяет , не рекомендую!!!"
1,"В клавиатуре справкой стороны западали цифры, особенно 012, очень сильный запах пластика, через месяц работы колёсико в мышке перестала работать. Пожалела, что купила, пустая трата денег"
1,"В комплекте небыло выносного датчика температуры. Поняли это только дома, когда стали включать. Очень обидно."
1,В наборе нет семян... ребёнок расстроился... совести у вас нет...
1,В наборе семян НЕТ. Обман. Купила землю. Ребёнок расстроен. Похоже не у меня одной такое. Не рекомендую.
1,"В наш город перестали завозить этот корм, а котейка его любит. Заказывали несколько раз на вб - все было ок. В последний раз и этот корм, и с индейкой, видимо, были с нарушением хранения. Коту было очень плохо - рвота, понос. Вайлдберриз, как так? Это корм, его надо хранить и транспортировать по правилам!"
1,"В флаконе меньше половины, "
1,В целом тубусе пришла помятая раскраска...
1,"Взяла на пробу, банка не полная!!!! 
Следов как будто её вскрывали не обнаружила..."
1,"Вкус не понравился, как дешëвый в брикетах ""плодово-выгодный . Не советую, разочарование ☹️"
1,"Вкус прогорклый,как будто истёк срок годности,запах кокоса,не навязчивый.если б можно было бы вернуть,вернула бы.на губах прогорклая горечь.хотя срок годности до декабря 2021года."
1,Вместо бумаги пришла лежанка для животных...
1,"Вместо льняного семя прислали ореховую пасту из миндаля. На пункте выдачи этого не увидела, только дома когда открыла. И вместо двух банок пришла одна, а вторая висит в статусе «На поиске» И сколько так будет продолжаться? Нет товара, верните деньги. Тем более не надо присылать другой товар. "
1,Вместо молока была серая водичка с белыми хлопьями. Пришлось всё выкинуть. Очень обидно.
1,Вместо монеты пришли одеяло и подушка
1,Вместо нори  пришли носки мужские в консервной банке. 
1,"Вместо патчей пришёл совершенно другой товар,какой-то крем для лица... товар приобретался как подарок.."
1,Вместо рисовой муки пришла зелёная гречка.
1,"Вместо сахаразаменителя прислали вот это, деньги до сих пор не вернулись"
1,"Во-первых, кофе не такой уж и хороший. Средненький по качеству и вкусу. А во-вторых, совесть-то имейте, товарищи продавцы, взвинтить цены на кофе вашей марки в два раза, это уж слишком. Ведь производится он в России, под санкции не попал. Что ж вы так зверствуете?"
1,"Возрастные ограничения не соответствуют действительности. Необходимо в описании приложить скрин страницы про описание сперматозоидов, чтобы люди наглядно увидели содержание книги для детей 5+! Возврат был именно из за этого момента! Книгу брали на возраст 5-6лет. Удержали 62% от стоимости. С возвратом полной суммы жду результатов уже вторую неделю. Очень долго!"
1,"Вообще не вкусно.. Сах зам противный 
Не советую"
1,"Вообще не держится, брала на пробу"
1,"Вообще не понимаю, кто говорит, что она классная. На второй день отслоилась... Либо вы совсем посуду не моете и по дому ничего не делаете... База никакая. Не самовыравнивается."
1,"Вообще не понравился, сушит волосы, расход большой"
1,"Вообще не поняла эту пасту. Делала все по инструкции, а результата ноль. Обрабатывала порядка 5 растений в разных местах (не более 3 точек пробуждения на растении), но НИ НА ОДНОМ не появилось новых почек в тех местах, где нанесла пасту по технологии, указаной на упаковке. Уже прошло больше месяца, я расстроена"
1,Вообще не то что я заказала. Ооочень ждала.... Ооочень разочарована!!!
1,"Вообще не тот запах, рядом не стоял, так сильно расстроился..."
1,"Вообще ни  о чем, мне лично ничего не убрали"
1,"Вообще ни какого эффекта, салфетки внутри почти сухие, брала до этого на сервисе СП, вот там было реально огонь, поэтому тут и заказала, но, очевидно, подделка. Деньги на ветер, не рекомендую."
1,Вообще никакого эффекта. 
1,"Вообще пришёл другой ,просто золотистый гель-лак, забрала не глянула"
1,Вопрос производителю: Как действует крем на сустав?  Какая периодичность использования крема?  Ожог кожи  это норма? И вопрос магазину: Несет ли ответственность магазин за продаваемый товар?
1,Вот в таком виде получила товар
1,"Вот такая «красота». Принесла домой из пункта выдачи, открыла и очень расстроилась "
1,"Вот такой обман .. написано 100гр, на деле 50, за почти 800₽... Вот это прям подстава... 😢😤 Хорошо что не в подарок взяла... И согласна в предыдущим комментатором, ЭТО не ГАБА, вообще не разу..."
1,"Вот уж г.....о г.....м  Такое я еще не пробовала, как будто мыло ешь. Ни консистенция самого продукта ни вкус, НИЧЕГО не понравилось.УЖАСНО просто"
1,"Впервый раз купила молоко этой фирмы и полное разочерование, оно испорченно, вода и сгусток кокоса. Хорошо, что упаковку не закащала, теперь нет доверия вашей продукции."
1,"Врет, показывает больше на 3 градуса"
1,"Все пришло хорошо упакованым.
Ну вкус чувствуется химия очень сильно.
На любителя"
1,"Всегда брал казеин этой фирмы и нарицаний не было. Сегодня получил и после вскрытия пакета сразу насторожился, потому что по виду был похож на обычное сухое молоко. Раньше для разведения одной порции до жидкого состояния требовалось не менее 200 мл молока, сейчас двойная порция легко растворилась в 100 мл даже не створаживоясь. Больше ""насорога"" никогда брать не буду."
1,"Всегда отличный продукт был, а тут пришла упаковка с подкисшим продуктом. Да, расслаиваться должно молоко, но здесь при нагревании отделяется просто жир, собрать  его в однородную массу невозможно. Кофе покрылось как бульон жиром (обычно наподобие сливок взбитых), пить невозможно, и привкус с кислинкой. Я уже порядка 10 пачек покупала, такое в первый раз. Партия от 19.07.20."
1,Вскрытый мешок. Не хватает 1 кг.
1,"Всходы появились через сутки, чем была крайне удивлена, но на третьи сутки пропали. Так что увы, но деньги на ветер. Одна звезда только потому что без звёздочек отзыв не оставить🥴"
1,Вся вытекла😔 возврат
1,"Всё бы хорошо. Бумага плотная, но пришла мятая, заломлена. Через Вайлдберис не рекомендую. А так производитель  неплохой. "
1,"Всё расплывается, товар не рекомендую!!!"
1,Второй раз беру испорченное молоко!верните деньги!
1,"Второй раз заказываю, первое молоко было хорошо упаковано, в коробке, в этот раз прислали кокосовую воду вместо молока, обмотанную пленкой, возврат!"
1,Второй раз подряд прислали банку с вытекшей пастой. 
1,Вчера заказала муку по акции 2 по цене1....сег пришла получать..БИНГО!!! одну пачку привезли
1,Вы куда цены задрали? Спекулянты. Наживаются на покупателях 
1,Выброшенные на ветер деньги! Ничего не взошло!
1,"Вызвал жуткую аллергию, кожа покраснела, стала очень сухой, шелушится, под кожей образовались какие-то бугры (по типу прыщей). 😱 "
1,Выкинула деньги! Не взошло СОВСЕМ! НИ ОДНОГО!!!!!
1,"Выписывала Денис ,а пришла Скарабей.Только дома увидела."
1,"Выросли 3 веточки по 0,5 см и всё. Выкинули"
1,"Гадость. Не поняла восторженных отзывов. Ни какого вкуса мороженого. До этого брала шоколад и клубнику этого же производителя, претензий к вкусу не было. А тут даже пенки нет при взбивании блэндером, какая то тяжёлая смесь с гадким вкусом."
1,"Говняшка. Не берите такое. Пришло с комом внутри. По инструкции стала нагревать и мешать, вроде растаяло. В кофе отделяется на жирные пятна. В холодильнике снова в комок застыло"
1,"Голимый мускус, больше ничего. Тошнотворный запах"
1,"Горчит, по сравнению с другими 😩😩😩"
1,"Горькая! Срок годности в норме, но на вкус горькая. Видимо неправильно хранилась"
1,"Горькие, ребёнку не понравились"
1,"Готовить интересно,есть не возможно"
1,"Градусник не показывает температуру, присоски не держат, цвет не насыщенный "
1,ДОСТАТОЧНО ТОГО.ЧТО В ОТЗЫВЕ О ГРЕЧИШНОМ............ЭТО НЕСТОИТ ТОГО ЧТОБЫ ОСТАВЛЯТЬ ОТЗЫВ!  ПРОСМОТРИТЕ ПРОСТО ЕГО РОЛИЕ .НУ СМЕХ. И КАК ТО ЖАЛЬ ЭТУ СЕМЬЮ. ВСЕ ПО БОГОМ ХОДИМ А РОКЛЯТИЯ ДО 7 КОЛЕНА!!!!ЗАДУМАЙТЕСЬ...........
1,"Да, база не очень. Подготовливала НП по инструкции, у двух клиенток через неделю слезло по 1-2 ногтя😞"
1,"Давно хотела приобрести. На оф сайте стоит 2000. Тут я купила 755. 
Но того не стоит. Стоимость в реале такой книги 100-200р, не более. 
В книге есть информацию о шугаринге, но рекламы больше! Большой шифр, много воды и белых листов, пропусков- из за этого книга кажется большой. Как хорошо,что не купила 2000, ни о чем. Хотя для нее 755р много. Расстроена."
1,"Даже не могу оценить качество товара, т.к. вытекла вся жидкость."
1,"Даже нет возможности попробовать эту пасту. Два раза заказывала и два раза приходила просрочка. В этот раз дата изготовления 07.08.2019, а срок хранения 6 месяцев. Я весьма огорчена и раздосадована!!!"
1,Данные карточки пришли мятые.Попробую перезаказать.Надеюсь получить товар надлежащего товарного вида.
1,Данный товар прослужил ровно 3 часа с отдыхом каждые 15 мин работы. Товаром не доволен
1,Дата упаковки 21.06.2020!!! Скоро срок годности истечет... 
1,"Делала с ним маникюр два раза. Первый раз проходила где-то 1,5 недели,  делала всё по правилам. Второй раз-через 5 дней всё сошло пластом. Ни с одной базой такого не было"
1,"Для дома амулет не плох, но для человека как огромная медаль."
1,"До 04.2022 года, корока помятая, крышка баночки вся в царапинах, как будто с витрины, НЕ РЕКОМЕНДУЮ ПРОДАВЦА!!! Сама маска замечательная, работаю с ней давно."
1,"До этого брал с фисташкой, все было гуд, пена, вкус, протеин хрусте между пальцами. ВЗЯЛ СО ВКУСОМ АНАНАСА И ОЧЕНЬ РАССТРОИЛСЯ. вкусовые качества никакие, протеин между пальцев не скрипит. Неделю пью и пошла потеря массы. Прочитал как отличить подделку. Не буду удивлён что вместо протеина там крахмал. Больше брать протеин этой марки не буду. РАЗОЧАРОВАН!!!"
1,"До этого заказывала молоко, было густое, вкусное. В последний раз пришла еле забеленная вода.. Больше заказывать не буду."
1,"Добрый вечер. Конфитюр замечательный, но банка пришла разбитая. Очень жаль, что так плохо пакуете товар."
1,"Добрый день! Не проверила лупу на пункте выдаче, а он оказался со сколом. Буду делать возврат. На пункте выдачи отказались принять товар. "
1,"Добрый день, мед совершенно не загустел не смотря на то, что куплен в апреле 2021 г., а собран в 2020 г. Обычно к новому году он становится сахарным. Не пробовала, не знаю из чего это сделано."
1,"Дома показывает правильную температуру. +24. На улице при минус 10, показывает +2..."
1,"Дорогие работники,кто собирает заказы!!! Вы хотя бы читайте,что на флакончиках пишут. Топ или база!!!! Это разные вещи. Заказала топ,а пришла база камуфдяж. Она мне вообще не нужна. "
1,Доставили не те насадки
1,"Доставили совершенно не то, что заказывали"
1,"Доставка подвела, это молоко просто отличное, Но большое но, его привезли перемороженное и жир спресовался комком и его пить сейчас просто невозможно, знаете цена то не маленькая, могли бы и не портить товар, больше тут не закажу"
1,"Дрянь термометр и не держится ни с лбезжиривателем ни с водой ни с тем и другим, температуру показывает как придётся. В минусовые у нас показывает плюс, в плюсовые ещё плюс градусов 15. Так что игрушка для детей и деньги на ветер."
1,Думаю комментарии излишни!!!!
1,"Дурдом... заказывала топ а пришла база, нужна была бы база я бы не заказывала топ. Пришло это безобразие ко мне без коробки просто в зиплоке. Получала не я, а так бы сразу вернула, хотя на сайте указано что товар невозвратный. Если отправляете невозвратный товар то хоть убедитесь что отсылаете то что нужно, а не то что под руку попалось"
1,"Дырка в упаковке. Жаль, что не проверила в пункте выдачи. Уже не первый раз сталкиваюсь с проблемами при покупках у Вальберис. Администрации необходимо работать с персоналом, которому по всей видимости наплевать на качество, не проверяют товар перед отгрузкой и продажей. "
1,"Ем без проблем 😉 
Съели соус , остальное стали закапывать . Не понравился двум кошкам . "
1,"Ерунда какая-то. Пришло молоко кусками, как творог по консистенции. Больше покупать не буду!"
1,"Ерунда,зря только деньги выкинули"
1,Ерунда...а не лупа
1,"Если честно, не представляю, как это возможно, но колени стали хрустеть еще больше. Приобретала ранее три коллагена разных фирм, поэтому есть с чем сравнить. Вкус не впечатлил, напиток похож скорее на чай каркаде без сахара, нежели на вишню. Увы-увы, не советую."
1,"Ехал месяц, пакет открыл носками вонят. 🤦‍♂️"
1,"Еще не использовал, но уже разочарован покупкой при сборки. Щель на ручке, и кто-то уже пытался эту щель убрать, и испортил винтик. Отсутствуют шурупы для крепления защитного кожуха. Еще в пакете лежали отломленные части чего-то"
1,Ещё и 50р за возврат удержали😡 Возврат не по моей вине!!!
1,"Жалею, что рискнула и не послушала другие отзывы - отвратительный топ. Пузыри невозможно убрать, попадаются полимеризовавшиеся ошметки, высох неровно. "
1,"Ждала доставку 2 недели🤦 одна звёздочка не за товар, а за качество обслуживания wb. Почтой России и то быстрее бы доставили..."
1,"Ждала доставку неделю, пришёл гель со сломанным дозатором."
1,Ждала неделю... Доставки не дождалась. 
1,Жидкая как вода
1,"Жидкость не вытекла, но они сползают ,не берите!!!"
1,"Жижа, а не база. Каплю не держит. Боковые и торец постоянно лысые. Если пытаться стянуть по бокам, капля уже успевает растечься. Вобщем либо на выброс, либо куда нибудь в замес добавлять к густым. Вообще лаки этой фирмы брать не буду, все непредсказуемые, то густые, то жидкие. Ни одного нет, чтоб кайфовать при нанесении.
Нравится только стронг база, её снова закажу."
1,"За более чем два месяца ничего не взошло
НЕ РЕКОМЕНДУЮ"
1,"Забрала без проверки сроков годности, тк банки были хорошо упакованы. Продавать с истекающим через 4 дня сроком годности?! Это нормально?! Это одна звезда не производителю, а Вайлдберриз. У остальных конфитюров срок истекает через месяц"
1,"Заказ забирал муж, бальзам мне не положили, очень расстроена "
1,"Заказ пришел не упакованный и поэтому тара вся порваная и коктель высыпался. Возврат товара, но деньги не вернули еще. 👎"
1,Заказ пришёл в ужасном состоянии !!!!малого того рваная коробка так ещё и капсул 60 штук вместо 120 !!не рекомендую!
1,"Заказал лупу со скидкой 75%, итого по цене 199 рублей (от цены около 800рублей). Дошла в срок. Только в МЕТРО она стоит 79 рублей (посетил магазин после ). Это разводилово!!!!!!!!!!! Разве так можно? Бизнес бизнесом,но совесть то иметь надо!"
1,"Заказал мультик,пришел товар расыпчатый в пакете,запах химии ужасный срок годности остался месяц,походу он умер уже"
1,"Заказал один вкус, пришло без вкуса. Ошибок не прощаю все же вы давно в бизнесе. Больше брать не буду. И почти рваный пакет. Запарил вельбарис без упаковок все делать."
1,"Заказал одно, а доставили другое. Жаль заметил только дома."
1,"Заказал три банки, одна была разбита("
1,"Заказал чёрные щетки для модели RL 010, пришли белые щётки для модели RL 030"
1,"Заказала 2 таких, пришла одна норм, втораЯ маленькая 300 гр и с солью, вы хотели впихнуть маленькую баночку по цене большой?!!!! Заказываю эту пасту не в первый раз, оч люблю её, но прям теперь подумаю, неожиданно было!"
1,"Заказала 2 шоколадки...Одна пришла с истекшим сроком годности (ноябрь 2020) - возврат на пункте выдачи, а вторая от октября 2021 - забрала, т.к. срок хранения 6 месяцев. Дома откусив кусочек увидела внутри кучу белых шевелящихся червей... Я с дочкой в шоке!!!"
1,"Заказала 4 коробки, пришло три, одна провисела в стадии «в розыске» в разделе «мои доставки» и пропала. 
WB, как так?! Можно не присылать товары, которые уже оплачены, и не возвращать за них деньги? "
1,"Заказала 4 штуки этой пасты, прислали 1 классическую, а остальные с топинамбуром, и 3 из 4 были открыты, заметили только дома. Ужасно не приятно. Будьте внимательны. Больше заказывать не буду."
1,Заказала две монеты пришла одна ...где вторая
1,"Заказала две упаковки. Сегодня пришла только одна. Пакет рваный, ластик в пакете только один... Дополнительно никак не упакован, вот и рвется.. На выдаче в таком виде и отдают, а вдруг покупатель не заметит.."
1,"Заказала мешки для пылесоса  PHILIPS, пришли на BOSCH. Что к чему? Если бы мне нужны были на BOSCH, то я бы и заказала на него. "
1,"Заказала чипсы,а отправили мне кокосовую стружку . Своих денег не стоит , деньги просто на ветер ушли. Очень пожалела ,что купила. "
1,"Заказала, 2 упаковки, вместо молока положили скраб для губ. Не уже ли не отличить молоко, от косметики. Упаковка картонная открывается без труда. Что за не уважение к покупателям?? 
"
1,Заказывал Анна. Пришла Екатерина
1,"Заказывал Габа 100 гр., прислали Массала 50 гр. в связи с тем что упаковки практически одинаковы (разница только в небольшой строчке на лицевой части упаковки), не обратил внимание на название и вскрыл пачку. 
Массала конечно тоже не плохо, но я заказывал абсолютно другое.... Чай, а не приправу для плова...."
1,Заказывала rl10 пришли 30
1,"Заказывала в подарок, пришёл товар просроченный"
1,"Заказывала имя Ольга, пришёл Максим. Обидно, это должен был быть подарок"
1,"Заказывала молоко в мае. Всё крупинками :(  посмотрела здесь, в мае один отзыв аналогичен моему. Видимо, партия такая попалась."
1,"Заказывала молоко по многочисленным положительным отзывам. Да, пришло отслоившееся, но при комнатной температуре и сильном встряхивании молоко приобрело нормальную текстуру, кроме того, что оно было мелкими хлопьями, будто прокисшее, поэтому пока вернулась к Aroy D, к сожалению"
1,"Заказывала монету с именем Дмитрий, а пришла с именем Олеся, печально"
1,"Заказывала насадки RL 010, а пришли RL 030, поменяйте насадки!!! Они стоят не 100 рублей, а 700!"
1,"Заказывала племянникам на подарки, очень было обидно, когда у всех были семена, а в ягодах годжи нет, после чего заказывала ещё несколько раз, соответственно снова оплачивала, но проверяла уже на пункте выдачи, ни в одной упаковке семян ягод годжи не было!"
1,Заказывала шампунь для волос. Прислали бальзам. Больше не буду заказывать !
1,"Заказывала эту лупу три раза. Первый раз так и не пришла, следующие две ужасные по качеству. Стекло или расцарапано, или мутное с пятнами внутри "
1,"Заказываю лупы часто, описание об увеличении не соответствует заявленному. Поэтому отказ. Прошу не снимать % скидки. Спасибо."
1,Замечательные семена чиа возможно. Но мне из не попробовать. Что за невнимательность!!! Зачем мне кокос
1,Запах на любителя... как  у морской капусты
1,"Запах не похож на Дживанши! Да, приятный, но не похож от слова СОВСЕМ."
1,"Запах отсутствует от слова СОВСЕМ. Ждала сутки, думала, проявится. Но, к сожалению, почувствовать его можно, если только максимально приблизить флакон к носу. Исходя из того, что это не первый аромат BAGO, который я покупаю, и знаю, что пахнут они довольно интенсивно, то предполагаю, что данный товар является фальсификатом, или был жестко на каком-то этапе разбавлен. Судя по отзывам, не всем попадаются такие флаконы, соответственно, скорее всего, на складе разбавляют, а потом снова упаковывают в плёнку. Для сравнения хочу купить такой же аромат в другом магазине. Сам аромат приятный, сладковатый. Пахнет заявленной в описании корицей и немного яблоком."
1,Запаха нет. Подделка
1,Зачем вообще такой товар продавать. Весь ободранный. На окне не держится. Буду возвращать обратно.
1,Зашибись попробовала смородинки
1,Защитная пленка под крышкой была вскрыта.... такое впервые сколько заказываю .....
1,"Звезды не ставлю. Пришел разбитый(((( очень расстроена,заказывала в подарок."
1,"Здравствуйте! Вчера пришло три пачки молока, все странной консистенции, вода и комочки, запах тоже странный, попробовала сделать, как написано на упаковке, ничего не вышло. Заказываю в четвёртый раз, первый раз пришло в таком виде. Что посоветуете?"
1,Здравствуйте! К сожалению пришел не тот товар. И это очень не приятно! А ещё и Коты не оценили. Есть не стали! Хотя совсем не привередливые в еде.
1,Здравствуйте! Стала заканчивается упаковка считаю что должно хватить на 1.5 месяца а по факту не хватает в банке 10 штук! Как вы так делаете? Из за такого обмана заказывать больше не буду или проверять надо как то!
1,"Здравствуйте, попробовали всей семьей, такого ужасного продукта не пробовали. Не просто не вкусный, он ужасен и совершено не растворяется "
1,"Здравствуйте.  Заказала базу с номером 015 , а прислали базу 025. Как так?! Как база по качеству незнаю,  пока не использовала."
1,"Здравствуйте. Какао не понравилось. Искала натурал ный и без сахара. Да, какао не сладкий, отлично. Но вкус не просто с кислинкой, а какой то с присутствием чего то химического. Не посоветую и сама не преобрету к сожалению."
1,"Здравствуйте.Было неприятно,что вместо масло расторопши положили льняное масло.Поэтому отказ"
1,Зое потраченные деньги 
1,"И5 звёзд Валдьерису, он же не изготовляета поставляет
Ничего не растёт, к сожалению"
1,"Из 4 заказаных привезти 2 других. Беспроводные с мышкой. Сделал возврат, сняли 200р за доставку ((("
1,"Из Испорченного сырья, аж горло жгёт"
1,"Из жаренных орехов. На этикетке информации об этом нет. Консистенция не однородная, густая, напоминает арахисовую пасту, даже на вкус. Сливочный вкус отсутствует, а брали исключительно для приготовления веганского творога. Разочарование. "
1,"Из хорошего! Num lock и Scroll lock работают. Ещё работают [],./\' 
Из плохого! Работают только они.
(Проверено на двух машинах.)
Очень достойная клавиатура если нужны лишь указанные клавиши"
1,"Интересно почему топ пришел, а в бутылке меньше половины?!? Прошу вернуть деньги!!!!"
1,Испорченное 
1,Испорченый ! Молоко свернулось . Горячая вода и интенсивное встряхивание не помогло . Вот сливки пришли хорошие . 
1,К большому сожалению не стала распаковывать в пункте выдачи!!! Открыв дома была в шоке!Кофе в ужасном состоянии! Пакет весь мятый!!! По ощущениям что его возили по асфальту!
